DBN,School Type,School Name,"Total Parent 
Response Rate",Total Teacher Response Rate,Total Student Response Rate,Percent Satisfaction: Collaborative Teachers,Percent Satisfaction: Effective School Leadership,Percent Satisfaction: Rigorous Instruction,Percent Satisfaction: Strong Family-Community Ties,Percent Satisfaction: Supportive Environment,Percent Satisfaction: Trust,Percent Satisfaction: Parent,Percent Satisfaction: Student,Percent Satisfaction: Teacher
75X186,District 75,P186X Walter J. Damrosch School,13%,37%,82%,88%,81%,89%,76%,92%,89%,83%,92%,88%
75X188,District 75,P.S. X188,20%,74%,96%,80%,72%,81%,81%,87%,89%,92%,88%,79%
75X352,District 75,The Vida Bogart School for All Children,25%,47%,70%,86%,79%,84%,86%,79%,88%,94%,77%,84%
75X469,District 75,P469X - The Bronx School for Continuous Learneres,49%,100%,N/A,91%,86%,78%,87%,95%,95%,94%,N/A,88%
75X721,District 75,P.S. X721 - Stephen McSweeney School,30%,70%,98%,90%,83%,83%,89%,89%,93%,95%,91%,85%
75X723,District 75,P.S. 723,23%,63%,63%,87%,77%,75%,81%,85%,92%,92%,84%,84%
75X754,District 75,J. M. Rapport School Career Development,11%,62%,47%,77%,70%,73%,79%,82%,85%,86%,81%,76%
75X811,District 75,P.S. X811,27%,50%,94%,83%,78%,77%,85%,88%,91%,92%,89%,80%
84K037,Early Childhood,Beginning with Children Charter School II,66%,63%,N/A,98%,92%,94%,90%,100%,98%,97%,N/A,95%
84K125,Early Childhood,Success Academy Charter School - Bed-Stuy 2,27%,37%,N/A,93%,85%,91%,95%,99%,95%,98%,N/A,91%
84K129,Early Childhood,Success Academy Charter School - Cobble Hill,40%,79%,N/A,92%,84%,90%,95%,100%,96%,97%,N/A,91%
84K182,Early Childhood,Success Academy Charter School - Williamsburg,41%,91%,N/A,96%,86%,97%,97%,100%,99%,98%,N/A,95%
84K333,Elementary School,Explore Exceed Charter School,77%,97%,N/A,93%,88%,92%,86%,92%,96%,92%,N/A,92%
84K355,Middle/High,Williamsburg Collegiate Charter School,N/A,N/A,N/A,97%,93%,91%,87%,86%,95%,95%,84%,96%
84K356,Elementary/Middle/High,Achievement First Crown Heights Charter School,N/A,N/A,N/A,84%,77%,84%,86%,78%,85%,92%,76%,82%
84K357,Elementary/Middle/High,KIPP AMP Charter School,N/A,N/A,N/A,82%,78%,84%,85%,81%,90%,92%,80%,83%
84K358,Elementary/Middle/High,Achievement First East New York Charter School,N/A,N/A,N/A,91%,85%,92%,89%,86%,90%,94%,84%,90%
84K359,Elementary/Middle/High,The Uft Charter School,0%,9%,63%,78%,70%,85%,85%,75%,78%,N/A,75%,78%
84K360,Middle School,LAUNCH EXPEDITIONARY LEARNING CHARTER SCHOOL,44%,90%,78%,83%,84%,80%,78%,80%,87%,88%,80%,83%
84K362,Elementary/Middle,Hellenic Classical Charter School,69%,100%,98%,94%,91%,96%,85%,94%,95%,95%,92%,94%
84K367,Elementary School,Success Academy Charter School - Bed-Stuy 1,30%,100%,N/A,96%,89%,100%,96%,96%,97%,97%,N/A,95%
84K379,Elementary School,Explore Excel Charter School,89%,100%,100%,81%,79%,83%,84%,78%,87%,93%,79%,80%
84K386,Middle School,Invictus Preparatory Charter School,49%,67%,90%,71%,65%,78%,79%,80%,79%,89%,78%,70%
84K395,Transfer High School,Roads Charter School I,6%,65%,1%,69%,64%,58%,82%,92%,81%,93%,N/A,65%
84K406,Elementary School,Teaching Firms of America-Professional Preparatory Charter School,73%,91%,N/A,93%,89%,95%,90%,92%,95%,96%,N/A,92%
84K417,Transfer High School,Urban Dove Charter School,24%,100%,56%,90%,86%,79%,80%,87%,97%,92%,87%,89%
84K473,High School,Williamsburg Charter High School,45%,100%,92%,85%,84%,80%,77%,81%,91%,90%,79%,85%
84K486,Transfer High School,New Dawn Charter High School,70%,97%,58%,94%,90%,85%,84%,83%,96%,90%,84%,92%
84K508,Elementary/Middle/High,Achievement First Endeavor Charter School,N/A,N/A,N/A,93%,90%,94%,88%,83%,92%,94%,81%,93%
84K517,Elementary/Middle,Leadership Prep Bedford Stuyvesant Charter School,46%,84%,0%,89%,83%,92%,87%,94%,94%,94%,N/A,88%
84K536,Elementary/Middle,Community Roots Charter School,66%,86%,86%,93%,89%,91%,97%,86%,93%,97%,81%,94%
84K538,Elementary/Middle/High,Achievement First Bushwick Charter School,N/A,N/A,N/A,93%,88%,94%,89%,94%,95%,96%,96%,91%
84K593,Elementary/Middle/High,Excellence Boys Charter School,N/A,N/A,N/A,88%,85%,89%,87%,76%,85%,93%,71%,88%
84K608,Middle/High,Kings Collegiate Charter School,N/A,N/A,N/A,83%,84%,83%,86%,85%,93%,94%,84%,84%
84K626,Elementary/Middle,Achievement First Brownsville Charter School,28%,44%,72%,91%,84%,91%,87%,83%,91%,92%,82%,90%
84K648,Middle/High,Bedford Stuyvesant Collegiate Charter School,N/A,N/A,N/A,98%,93%,94%,91%,86%,94%,96%,83%,97%
84K649,Elementary School,La Cima Charter School,34%,90%,N/A,84%,79%,84%,86%,87%,91%,94%,N/A,83%
84K651,Elementary/Middle,PAVE Academy Charter School,54%,97%,81%,84%,78%,90%,88%,83%,92%,92%,80%,86%
84K652,Elementary/Middle,Brooklyn Ascend Charter School,71%,100%,94%,87%,80%,84%,84%,83%,89%,90%,81%,86%
84K680,Early Childhood,Achievement First Aspire Charter School,34%,59%,N/A,93%,86%,88%,91%,96%,96%,95%,N/A,91%
84K689,Early Childhood,Citizens of the World Charter School 1 Williamsburg,60%,92%,N/A,100%,96%,95%,92%,99%,99%,97%,N/A,98%
84K692,Early Childhood,Citizens of the World Charter School New York 2 Crown Heights,67%,88%,N/A,89%,91%,86%,90%,96%,97%,97%,N/A,89%
84K693,High School,Northside Charter High School,61%,100%,90%,89%,81%,80%,66%,83%,91%,82%,82%,87%
84K701,Elementary School,Brooklyn Charter School,57%,100%,N/A,88%,84%,86%,88%,85%,92%,94%,N/A,86%
84K702,Elementary/Middle,Community Partnership Charter School,57%,91%,92%,84%,80%,83%,90%,79%,87%,93%,74%,84%
84K703,Elementary/Middle,Beginning With Children Charter School,60%,91%,97%,89%,87%,88%,89%,84%,90%,93%,82%,90%
84K704,Elementary/Middle,Explore Charter School,80%,96%,96%,84%,73%,83%,87%,78%,85%,91%,75%,82%
84K707,Elementary/Middle/High,Brooklyn Prospect Charter School,50%,87%,83%,91%,92%,85%,86%,87%,94%,93%,84%,92%
84K710,Middle/High,Brownsville Collegiate Charter School,N/A,N/A,N/A,88%,86%,88%,86%,81%,91%,95%,79%,88%
84K711,Elementary School,Leadership Preparatory Brownsville Charter School,64%,88%,81%,88%,83%,90%,87%,83%,89%,94%,75%,89%
84K712,Elementary School,Excellence Girls Charter School,68%,96%,95%,93%,88%,93%,89%,84%,88%,94%,73%,94%
84K724,Elementary School,Leadership Prep Canarsie Charter School (Leadership Prep CS 4),55%,87%,97%,98%,96%,96%,89%,93%,96%,96%,88%,98%
84K726,Middle School,Fahari Academy Charter School,70%,88%,94%,82%,83%,87%,87%,81%,86%,94%,79%,83%
84K730,Middle/High,Summit Academy Charter School,69%,50%,73%,85%,86%,87%,88%,83%,90%,92%,80%,89%
84K731,Elementary/Middle,Brooklyn Excelsior Charter School,20%,49%,88%,79%,73%,84%,81%,81%,86%,87%,79%,80%
84K733,High School,"Math, Engineering, and Science Academy Charter High School",47%,93%,85%,96%,91%,90%,79%,91%,95%,91%,91%,93%
84K734,Elementary School,The Ethical Community Charter School (TECCS),40%,94%,N/A,88%,81%,95%,94%,96%,94%,97%,N/A,90%
84K736,Early Childhood,New American Academy Charter School,79%,69%,N/A,94%,96%,88%,87%,93%,99%,95%,N/A,94%
84K737,Elementary School,Brownsville Ascend Charter School,59%,84%,89%,87%,84%,85%,83%,86%,92%,92%,84%,87%
84K738,High School,New Visions Charter High School for Advanced Math and Science III,95%,95%,98%,91%,88%,76%,75%,81%,91%,89%,80%,89%
84K739,High School,New Visions Charter High School for the Humanities III,4%,86%,42%,66%,56%,72%,80%,71%,78%,95%,68%,62%
84K740,Elementary/Middle,Brooklyn Scholars Charter School,50%,75%,79%,88%,84%,87%,89%,83%,92%,95%,81%,88%
84K741,Early Childhood,Success Academy Crown Heights (Brooklyn 7),42%,100%,N/A,96%,90%,91%,94%,98%,99%,98%,N/A,95%
84K742,Elementary/Middle,Explore Empower Charter School,56%,98%,95%,72%,56%,80%,83%,80%,75%,90%,78%,66%
84K744,Elementary/Middle/High,Coney Island Preparatory Public Charter School,38%,98%,79%,89%,85%,86%,84%,82%,92%,92%,79%,89%
84K746,Elementary School,Hebrew Language Academy Charter School,87%,93%,N/A,96%,90%,98%,88%,97%,95%,93%,N/A,95%
84K752,Early Childhood,Success Academy Fort Greene (Brooklyn 5),23%,100%,N/A,93%,82%,94%,90%,94%,92%,88%,N/A,92%
84K756,Early Childhood,Success Academy Prospect Heights (Brooklyn 6),36%,71%,N/A,98%,90%,87%,94%,99%,99%,97%,N/A,95%
84K757,Middle School,Unity Prep Charter School,68%,100%,90%,87%,87%,81%,83%,89%,92%,92%,90%,86%
84K758,Middle School,Brooklyn Urban Garden Charter School,40%,100%,93%,82%,85%,75%,88%,83%,89%,93%,81%,83%
84K759,Early Childhood,CANARSIE ASCEND CHARTER SCHOOL,58%,100%,N/A,82%,78%,84%,86%,96%,93%,93%,N/A,84%
84K769,Elementary School,Hyde Leadership Charter School- Brooklyn,79%,79%,N/A,69%,63%,79%,86%,83%,83%,94%,N/A,72%
84K772,Early Childhood,Success Academy Charter School - Bensonhurst - New York 3,43%,100%,N/A,94%,86%,98%,95%,99%,97%,98%,N/A,93%
84K774,Elementary School,Achievement First Apollo Charter School,48%,77%,N/A,86%,81%,83%,95%,92%,92%,97%,N/A,85%
84K775,Elementary School,Leadership Preparatory Ocean Hill Charter School,56%,98%,95%,95%,91%,96%,90%,87%,91%,96%,79%,95%
84K777,Middle/High,Ocean Hill Collegiate Charter School,N/A,N/A,N/A,92%,90%,92%,87%,83%,91%,96%,80%,92%
84K780,Middle/High,Brooklyn East Collegiate Charter School,N/A,N/A,N/A,92%,87%,89%,86%,84%,93%,91%,82%,92%
84K781,Early Childhood,Success Academy Charter School - Bergen Beach - New York 4,32%,93%,N/A,89%,85%,94%,90%,97%,94%,93%,N/A,90%
84K782,Elementary/Middle,Bedford Stuyvesant New Beginnings Charter School,23%,61%,67%,82%,74%,84%,84%,82%,86%,89%,79%,83%
84K784,Early Childhood,Achievement First North Brooklyn Prep Charter School,50%,60%,N/A,93%,82%,91%,90%,99%,98%,96%,N/A,92%
84K785,Elementary School,Imagine Me Leadership Charter School,61%,79%,N/A,98%,90%,93%,91%,93%,97%,94%,N/A,95%
84K788,Early Childhood,Achievement First Linden Elementary School,33%,31%,N/A,89%,91%,92%,90%,94%,98%,95%,N/A,91%
84K789,Early Childhood,Compass Charter School,94%,100%,N/A,98%,96%,95%,97%,99%,100%,99%,N/A,97%
84K790,Early Childhood,Central Brooklyn Ascend Charter School,45%,37%,N/A,74%,72%,77%,85%,87%,89%,95%,N/A,73%
84K791,Elementary/Middle,Brooklyn Dreams Charter School,13%,15%,1%,90%,84%,93%,88%,95%,95%,88%,N/A,91%
84K792,Elementary School,The Cultural Arts Academy at Spring Creek Charter School,89%,100%,N/A,90%,79%,86%,90%,87%,96%,96%,N/A,87%
84K793,Elementary School,Bushwick Ascend Charter School,43%,100%,N/A,68%,64%,80%,83%,89%,84%,92%,N/A,73%
84K796,Elementary School,Lefferts Gardens Charter School,57%,100%,N/A,95%,93%,96%,88%,95%,97%,94%,N/A,95%
84K797,Elementary School,New Hope Academy Charter School,76%,100%,N/A,89%,87%,91%,91%,92%,95%,94%,N/A,90%
84K803,Middle School,Brooklyn LAB Charter School,54%,71%,72%,88%,86%,83%,79%,78%,88%,87%,74%,87%
84M065,Middle School,Democracy Prep Endurance Charter School,77%,100%,96%,99%,97%,97%,83%,88%,95%,93%,86%,99%
84M068,Elementary/Middle,KIPP Washington Heights Middle School,64%,51%,86%,96%,92%,91%,89%,90%,96%,94%,89%,95%
84M080,Early Childhood,Manhattan Charter School II,97%,100%,N/A,89%,87%,93%,83%,97%,94%,90%,N/A,91%
84M085,Early Childhood,Global Community Charter School,42%,83%,N/A,79%,73%,89%,88%,93%,86%,93%,N/A,79%
84M100,Early Childhood,Neighborhood Charter School of Harlem,100%,100%,N/A,96%,94%,97%,95%,99%,99%,98%,N/A,96%
84M168,Elementary School,East Harlem Scholars Academy Charter School II,78%,100%,N/A,97%,91%,92%,92%,98%,99%,96%,N/A,95%
84M170,Early Childhood,Success Academy Hell's Kitchen (Manhattan 2),40%,60%,N/A,92%,84%,93%,95%,99%,97%,98%,N/A,91%
84M174,Early Childhood,Success Academy Union Square (Manhattan 1),45%,68%,N/A,95%,85%,95%,97%,98%,95%,98%,N/A,93%
84M186,Early Childhood,Harlem Hebrew Language Charter School,68%,76%,N/A,93%,87%,90%,90%,97%,94%,94%,N/A,91%
84M202,Middle School,Great Oaks Charter School,0%,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
84M265,Early Childhood,Success Academy Charter School - Washington Heights - New York 1,35%,86%,N/A,92%,84%,92%,92%,95%,96%,95%,N/A,90%
84M279,Middle/High,The Opportunity Charter School,47%,87%,95%,69%,70%,79%,77%,79%,82%,91%,78%,72%
84M284,Elementary/Middle/High,Harlem Children's Zone Promise Academy 1 Charter School,56%,62%,73%,80%,78%,85%,82%,87%,89%,90%,87%,82%
84M320,Elementary School,Manhattan Charter School,98%,95%,N/A,94%,88%,92%,89%,97%,97%,96%,N/A,93%
84M329,Elementary School,Harlem Link Charter School,49%,100%,N/A,84%,81%,82%,88%,84%,94%,94%,N/A,83%
84M330,Elementary/Middle,Girls Preparatory Charter School of New York,78%,97%,99%,93%,88%,90%,87%,85%,90%,94%,78%,93%
84M335,Elementary/Middle/High,Harlem Village Academy Leadership Charter School,N/A,N/A,N/A,86%,79%,90%,83%,84%,91%,92%,82%,86%
84M336,Elementary/Middle/High,KIPP Infinity Charter School,N/A,N/A,N/A,95%,94%,93%,91%,89%,95%,95%,87%,96%
84M337,Elementary/Middle/High,New York Center for Autism Charter School,100%,100%,N/A,96%,94%,63%,97%,97%,98%,98%,N/A,92%
84M341,Elementary/Middle/High,Harlem Children's Zone Promise Academy II Charter School,84%,80%,97%,85%,80%,86%,83%,80%,88%,92%,77%,86%
84M350,Middle/High,Democracy Prep Charter School,48%,95%,85%,96%,91%,91%,82%,86%,93%,91%,84%,95%
84M351,Elementary/Middle/High,Success Academy Charter School - Harlem 1,14%,60%,90%,93%,84%,96%,94%,83%,89%,96%,78%,93%
84M353,Middle/High,New Heights Academy Charter School,45%,71%,84%,89%,78%,84%,78%,84%,89%,89%,83%,87%
84M382,Elementary/Middle,DREAM Charter School,90%,100%,97%,93%,85%,87%,90%,82%,89%,94%,79%,91%
84M384,Elementary School,Success Academy Charter School - Harlem 2,15%,63%,54%,94%,89%,90%,92%,87%,92%,93%,80%,94%
84M385,Elementary/Middle,Success Academy Charter School - Harlem 3,23%,43%,73%,94%,87%,94%,92%,88%,92%,94%,85%,93%
84M386,Elementary/Middle,Success Academy Charter School - Harlem 4,16%,43%,65%,95%,91%,99%,94%,91%,95%,96%,88%,96%
84M388,Middle School,St. HOPE Leadership Academy Charter School,94%,94%,96%,94%,88%,87%,82%,91%,94%,90%,90%,93%
84M430,Middle School,The Equity Project Charter School (TEP),92%,97%,95%,94%,93%,96%,84%,92%,96%,94%,91%,95%
84M433,High School,Renaissance Charter High School for Innovation,63%,98%,87%,80%,80%,73%,73%,82%,89%,86%,82%,81%
84M478,Middle/High,Inwood Academy for Leadership Charter School,62%,95%,92%,86%,83%,84%,82%,84%,91%,93%,82%,87%
84M481,Elementary/Middle/High,Democracy Prep Harlem Charter School,54%,100%,82%,89%,83%,86%,85%,78%,89%,92%,76%,88%
84M482,Elementary School,Success Academy Charter School - Harlem 5,14%,23%,N/A,99%,90%,93%,93%,98%,96%,93%,N/A,97%
84M483,Elementary School,New York French American Charter School,93%,71%,N/A,81%,74%,94%,85%,94%,84%,89%,N/A,83%
84M518,Elementary School,East Harlem Scholars Academy Charter School,95%,97%,N/A,90%,81%,93%,89%,93%,87%,91%,N/A,89%
84M522,High School,Broome Street Academy Charter School,30%,88%,61%,82%,77%,78%,79%,73%,87%,89%,71%,81%
84M523,Elementary School,Success Academy Charter School - Upper West,41%,100%,N/A,94%,85%,97%,98%,99%,97%,99%,N/A,94%
84M524,Middle School,Innovate Manhattan Charter School,1%,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
84M702,Elementary School,Sisulu-Walker Charter School of Harlem,51%,70%,N/A,90%,88%,90%,89%,92%,96%,95%,N/A,90%
84M704,Elementary/Middle,Harbor Science and Arts Charter School,33%,79%,87%,96%,90%,93%,88%,88%,96%,94%,86%,96%
84M705,Elementary School,Amber Charter School,100%,96%,N/A,95%,89%,94%,83%,98%,97%,93%,N/A,94%
84M707,Transfer High School,John V. Lindsay Wildcat Academy Charter School,58%,40%,71%,96%,96%,95%,80%,96%,97%,93%,98%,95%
84M708,Elementary/Middle,Harlem Prep Charter School,53%,95%,95%,91%,86%,90%,86%,81%,88%,93%,76%,91%
84M709,Elementary/Middle/High,Harlem Village Academy Charter School,N/A,N/A,N/A,89%,86%,81%,85%,82%,93%,91%,82%,88%
84M726,Elementary/Middle/High,KIPP STAR College Prep Charter School,N/A,N/A,N/A,90%,90%,88%,89%,78%,92%,93%,76%,91%
84M861,Elementary/Middle,Future Leaders Institute Charter School,46%,83%,82%,90%,84%,93%,89%,86%,91%,93%,83%,90%
84Q083,Middle School,Central Queens Academy Charter School,88%,96%,94%,77%,73%,88%,77%,82%,87%,91%,81%,79%
84Q170,Elementary School,Peninsula Preparatory Academy Charter School,100%,54%,N/A,89%,78%,90%,93%,93%,91%,96%,N/A,87%
84Q298,Middle School,Middle Village Prep Charter School,40%,83%,98%,97%,97%,97%,84%,87%,96%,92%,85%,98%
84Q304,Elementary/Middle,VOICE Charter School of New York,58%,100%,99%,89%,87%,85%,83%,77%,91%,92%,73%,89%
84Q321,Elementary School,Growing Up Green Charter School,78%,68%,100%,85%,83%,81%,90%,89%,93%,95%,89%,85%
84Q337,Early Childhood,Success Academy Charter School - Rosedale - New York 5,31%,92%,N/A,94%,88%,95%,95%,98%,96%,94%,N/A,94%
84Q339,Early Childhood,Success Academy Charter School - Springfield Gardens - New York 6,32%,54%,N/A,88%,73%,100%,95%,98%,87%,94%,N/A,85%
84Q340,Elementary School,Challenge Preparatory Charter School,80%,100%,N/A,74%,58%,78%,86%,85%,78%,95%,N/A,70%
84Q341,Elementary/Middle,Riverton Street Charter School,100%,61%,96%,83%,69%,91%,99%,82%,84%,97%,79%,81%
84Q342,Elementary School,Rochdale Early Advantage Charter School,63%,93%,N/A,90%,83%,92%,85%,92%,91%,93%,N/A,89%
84Q359,Elementary School,Academy of the City Charter School,56%,93%,N/A,93%,88%,91%,91%,96%,96%,95%,N/A,93%
84Q704,Elementary School,Merrick Academy - Queens Public Charter School,25%,44%,86%,94%,88%,94%,90%,88%,97%,95%,86%,92%
84Q705,Elementary/Middle/High,Renaissance Charter School,62%,90%,98%,88%,81%,89%,86%,81%,87%,93%,77%,87%
84Q706,Elementary/Middle,Our World Neighborhood Charter School,34%,49%,98%,88%,83%,84%,89%,86%,89%,95%,81%,87%
84R067,Middle/High,John W. Lavelle Preparatory Charter School,70%,100%,98%,94%,92%,88%,78%,81%,93%,89%,79%,95%
84R071,Elementary School,Staten Island Community Charter School,83%,81%,N/A,91%,81%,89%,87%,86%,96%,93%,N/A,89%
84R073,Middle School,New World Preparatory Charter School,88%,97%,98%,94%,91%,91%,83%,82%,93%,91%,79%,95%
84X124,Early Childhood,Children’s Aid College Prep Charter School,87%,66%,N/A,86%,84%,83%,82%,96%,91%,94%,N/A,85%
84X133,Elementary School,Icahn Charter School 6,100%,56%,N/A,95%,91%,98%,88%,96%,99%,97%,N/A,95%
84X165,Elementary School,Grand Concourse Charter School,91%,100%,N/A,91%,85%,98%,88%,98%,94%,94%,N/A,92%
84X177,Middle School,Mott Hall Charter School,53%,72%,96%,81%,76%,82%,74%,82%,85%,85%,81%,81%
84X185,Elementary/Middle/High,Bronx Lighthouse Charter School,100%,100%,90%,86%,85%,82%,77%,79%,86%,84%,75%,88%
84X200,Transfer High School,ROADS Charter School II,3%,87%,32%,83%,81%,79%,72%,77%,90%,89%,77%,81%
84X202,High School,New Visions Charter High School for Advanced Math and Science II,83%,100%,97%,91%,90%,82%,78%,83%,92%,88%,81%,91%
84X208,High School,New Visions Charter High School for the Humanities II,26%,100%,23%,77%,70%,73%,73%,83%,89%,88%,84%,76%
84X233,Early Childhood,Family Life Academy Charter School II,80%,60%,N/A,96%,84%,97%,89%,100%,98%,94%,N/A,95%
84X255,Elementary/Middle,Bronx Charter School for Excellence,100%,98%,99%,96%,92%,95%,86%,91%,94%,94%,87%,96%
84X256,Early Childhood,Heketi Community Charter School,89%,79%,N/A,95%,93%,91%,91%,100%,99%,96%,N/A,95%
84X258,Middle School,Tech International Charter School,31%,96%,96%,79%,71%,82%,79%,80%,80%,82%,79%,78%
84X309,Elementary School,South Bronx Charter School for International Cultures and the Arts,84%,53%,N/A,89%,81%,97%,85%,97%,90%,93%,N/A,88%
84X345,Elementary/Middle/High,Hyde Leadership Charter School,53%,94%,89%,84%,81%,82%,88%,84%,90%,93%,82%,85%
84X346,Elementary/Middle,South Bronx Classical Charter School,100%,100%,98%,84%,86%,87%,85%,77%,88%,94%,72%,85%
84X347,High School,International Leadership Charter High School,50%,54%,75%,86%,79%,94%,69%,82%,84%,82%,79%,87%
84X362,Early Childhood,Icahn Charter School 7,76%,64%,N/A,98%,93%,99%,84%,100%,94%,93%,N/A,97%
84X364,Early Childhood,South Bronx Classical Charter School II,100%,100%,N/A,83%,84%,89%,85%,96%,93%,95%,N/A,85%
84X378,Elementary/Middle,Icahn Charter School 2,47%,75%,0%,97%,92%,99%,76%,97%,96%,88%,N/A,97%
84X380,Early Childhood,Success Academy Charter School - Bronx 3,22%,69%,N/A,90%,87%,96%,94%,99%,90%,95%,N/A,89%
84X387,Early Childhood,Brilla College Prep Charter School,92%,100%,N/A,99%,97%,98%,93%,99%,99%,97%,N/A,99%
84X389,Elementary/Middle,Bronx Global Learning Institute for Girls Charter School,83%,100%,98%,92%,86%,91%,83%,78%,90%,92%,74%,92%
84X393,High School,University Prep Charter High School,36%,97%,94%,65%,43%,87%,71%,84%,70%,81%,82%,61%
84X394,Elementary School,Mott Haven Academy Charter School,80%,95%,N/A,90%,88%,89%,89%,93%,93%,95%,N/A,90%
84X395,High School,"NYC Charter High School for Architecture, Engineering and Construction Industries (AECI)",79%,84%,94%,88%,88%,76%,73%,81%,91%,88%,79%,87%
84X398,Elementary School,Bronx Community Charter School,82%,96%,N/A,96%,96%,96%,91%,94%,98%,95%,N/A,96%
84X407,Elementary School,Bronx Charter School for Children,36%,72%,N/A,92%,84%,93%,85%,88%,96%,95%,N/A,90%
84X419,Elementary/Middle,Bronx Academy of Promise Charter School,74%,100%,100%,93%,90%,95%,84%,93%,95%,93%,92%,93%
84X422,Elementary/Middle,Icahn Charter School 3,36%,78%,98%,93%,86%,93%,80%,79%,87%,84%,76%,94%
84X461,Elementary School,Metropolitan Lighthouse Charter School,68%,100%,98%,77%,70%,77%,85%,87%,91%,94%,86%,79%
84X464,Early Childhood,Success Academy Charter School - Bronx 4 - New York 2,44%,28%,N/A,91%,82%,96%,93%,90%,90%,98%,N/A,87%
84X465,Early Childhood,Boys Preparatory Charter School of New York,63%,63%,N/A,92%,85%,82%,87%,93%,95%,92%,N/A,90%
84X471,Middle School,American Dream Charter School,84%,100%,95%,99%,94%,99%,92%,87%,97%,96%,87%,98%
84X472,Early Childhood,Family Life Academy Charter School III,81%,100%,N/A,89%,81%,85%,86%,98%,97%,96%,N/A,87%
84X482,Middle/High,Dr. Richard Izquierdo Health and Science Charter School,95%,100%,98%,89%,83%,85%,81%,83%,90%,91%,82%,88%
84X487,Elementary School,Girls Preparatory Charter School of the Bronx,68%,98%,94%,95%,88%,90%,90%,89%,94%,94%,85%,94%
84X488,Middle/High,The Equality Charter School,94%,93%,96%,83%,83%,80%,75%,81%,89%,89%,81%,84%
84X491,Elementary School,Academic Leadership Charter School,88%,100%,98%,84%,80%,95%,83%,95%,91%,91%,96%,87%
84X493,Elementary School,Success Academy Charter School - Bronx 1,23%,64%,N/A,92%,84%,97%,93%,98%,97%,96%,N/A,93%
84X494,Elementary School,Success Academy Charter School - Bronx 2,27%,62%,N/A,95%,88%,99%,94%,98%,97%,97%,N/A,95%
84X496,Elementary/Middle,Icahn Charter School 4,71%,96%,98%,98%,91%,96%,90%,87%,95%,94%,87%,97%
84X538,Elementary School,Icahn Charter School 5,42%,63%,N/A,95%,86%,95%,86%,96%,98%,93%,N/A,94%
84X539,High School,New Visions Charter High School for Advanced Math and Science,30%,73%,53%,90%,90%,86%,70%,81%,91%,85%,80%,91%
84X553,High School,New Visions Charter High School for the Humanities,67%,86%,84%,87%,86%,71%,83%,77%,91%,90%,75%,86%
84X554,Elementary School,New York City Montessori Charter School,37%,63%,N/A,83%,77%,74%,86%,73%,91%,90%,N/A,79%
84X703,Middle/High,Bronx Preparatory Charter School,60%,100%,93%,76%,71%,78%,78%,78%,83%,87%,75%,78%
84X704,Elementary/Middle/High,KIPP Academy Charter School,N/A,N/A,N/A,88%,85%,83%,88%,83%,90%,94%,80%,87%
84X705,Elementary/Middle,Family Life Academy Charter School,98%,84%,100%,93%,88%,94%,83%,94%,94%,91%,94%,93%
84X706,Elementary/Middle,Harriet Tubman Charter School,98%,98%,92%,90%,88%,93%,88%,88%,93%,96%,85%,91%
84X717,Elementary/Middle,Icahn Charter School,72%,73%,92%,92%,84%,97%,86%,89%,94%,93%,86%,93%
84X718,Elementary School,Bronx Charter School for Better Learning,90%,94%,N/A,91%,89%,93%,91%,96%,95%,94%,N/A,92%
84X730,Elementary School,Bronx Charter School for the Arts,84%,97%,N/A,84%,77%,87%,85%,84%,84%,91%,N/A,81%
84K888,High School,Achievement First HS,N/A,N/A,N/A,88%,81%,90%,83%,91%,90%,91%,89%,88%
84K969,High School,Uncommon Preparatory Charter High School,N/A,N/A,N/A,92%,89%,90%,91%,90%,96%,98%,89%,92%
